Facility Number,Facility Name,Common Name,Zone,Region,District,Council,Ward,Village/Street,Facility Type,Operating Status,Ownership,Registration Number,CTC Number,Latitude,Longitude
103495-8,Lichwachwa,lichwachwa,Southern Zone,Lindi,Ruangwa,Ruangwa DC,Chibula,Lichwachwa,Dispensary,Operating,Public - LGA,103495-8,,-9.943717,39.08374
110027-0,Life Care,Zahanati ya Makaburini,Eastern Zone,Pwani,Kibaha,Kibaha TC,Maili Moja,Maili Moja,Dispensary,Operating,Private - For Profit,62230,,-6.782,38.99583
111313-3,Life Health Care,,Central Zone,Dodoma,Kondoa,Kondoa DC,Chemchem,Ubembeni,Dispensary,Operating,Private - For Profit,,,-4.90778,35.78043
103496-6,Lifeline,lifeline,Western Zone,Shinyanga,Shinyanga,Shinyanga MC,Kambarage,Jomu,Dispensary,Operating,Private - For Profit,,,-3.66406,33.42147
103497-4,Lifesign,Life sign,Eastern Zone,Dar es Salaam,Ubungo,Ubungo MC,Saranga,Matangini,Dispensary,Operating,Private - For Profit,71405,,-6.795877,39.138872
103498-2,Lifua,Lifua,Southern Highlands Zone,Njombe,Ludewa,Ludewa DC,Luilo,Lifua,Dispensary,Operating,Public - LGA,,,-10.37819,34.78411
103499-0,Lifuma,Lifuma,Southern Highlands Zone,Njombe,Ludewa,Ludewa DC,Lifuma,Lifuma,Dispensary,Operating,Public - LGA,,,-9.97619,34.48817
103500-5,Liganga,Liganga,Southern Zone,Ruvuma,Songea,Songea DC,Litisha,Litisha,Dispensary,Operating,Private - Faith based organization (FBO),,,-10.6785,35.3376
103502-1,Ligoma,Ligoma,Southern Zone,Ruvuma,Tunduru,Tunduru DC,Ligoma,Ligoma,Dispensary,Operating,Public - LGA,,,-11.07821,37.49799
103503-9,Ligula,Ligula Hospital,Southern Zone,Mtwara,Mtwara,Mtwara MC,Chuno,Not set,Hospital - Regional Referral Hospital,Operating,Public - LGA,,,-10.2824,40.1729
111697-9,Ligula Medical Dispensary,Ligula,Southern Zone,Mtwara,Masasi,Masasi TC,Not set,Not set,Dispensary,Operating,Private,93215,,-10.72522,38.8106
103504-7,Ligumbiro,Ligumbiro,Southern Highlands Zone,Njombe,Ludewa,Ludewa DC,Mlangali,Not set,Dispensary,Operating,Public - LGA,,,-9.76515,34.47963
103505-4,Ligunga,Ligunga,Southern Zone,Ruvuma,Namtumbo,Namtumbo DC,Lusewa,Ligunga,Dispensary,Operating,Private - Faith based organization (FBO),,,-11.11278,36.21098
103506-2,Ligunga,Ligunga,Southern Zone,Ruvuma,Tunduru,Tunduru DC,Ligunga,Ligunga,Dispensary,Operating,Public - LGA,,,-10.7883,37.12173
103507-0,Lihagule,Lihagule,Southern Highlands Zone,Njombe,Ludewa,Ludewa DC,Masasi,Not set,Dispensary,Operating,Public - LGA,,,-10.45188,34.73272
103508-8,Lihale,Lihale Dispensary,Southern Zone,Ruvuma,Mbinga,Mbinga DC,Mkako,Lihale,Dispensary,Operating,Public - LGA,,,-10.793511,35.159748
103509-6,Lihimalyao,,Southern Zone,Lindi,Kilwa,Kilwa DC,Lihimalyao,Lihimalyao Kaskazini,Dispensary,Operating,Public - LGA,,,-9.33725,39.6259
103510-4,Lihimilo,Lihimilo,Southern Zone,Lindi,Lindi,Lindi DC,Mipingo,Lihimilo,Dispensary,Pending Operation - Under Construction,Public - LGA,,,-9.70247,39.47643
103512-0,Likamba,Barazani,Northern Zone,Arusha,Arusha,Arusha DC,Mussa,Likamba,Dispensary,Operating,Public - LGA,,,-3.32382,36.54664
103513-8,Likawage,,Southern Zone,Lindi,Kilwa,Kilwa DC,Likawage,Likawage,Dispensary,Operating,Public - LGA,,,-9.25931,38.9948
103514-6,Likokona,,Southern Zone,Mtwara,Nanyumbu,Nanyumbu DC,Likokona,Likokona,Dispensary,Operating,Public - LGA,,,-10.897153,38.238462
103515-3,Likolombe,likolombe,Southern Zone,Mtwara,Tandahimba,Tandahimba DC,Mkwiti,Likolombe,Dispensary,Operating,Public - LGA,,,-10.36101,39.4201
103516-1,Likombe,Likombe Health Centre,Southern Zone,Mtwara,Mtwara,Mtwara MC,Likombe,Madaba,Health Center,Operating,Public - LGA,,,-10.285399,40.196655
103517-9,Likombora,Likombora Disp,Southern Zone,Lindi,Liwale,Liwale DC,Mihumo,Likombora,Dispensary,Operating,Public - LGA,,,-9.89582,37.91703
103518-7,Likunja,,Southern Zone,Lindi,Ruangwa,Ruangwa DC,Likunja,Likunja,Dispensary,Operating,Public - LGA,,,-10.163085,38.914153
103519-5,Likusanguse,Likusanguse,Southern Zone,Ruvuma,Namtumbo,Namtumbo DC,Magazini,Likusanguse,Dispensary,Operating,Public - LGA,,,-11.2865,36.39471
108857-4,Likuyufusi,Likuyufusi,Southern Zone,Ruvuma,Songea,Songea MC,Lilambo,Likuyufusi,Dispensary,Operating,Public - LGA,,,-10.67476,35.47967
103523-7,Likwachu,,Southern Zone,Lindi,Ruangwa,Ruangwa DC,Chinongwe,Likwachu,Dispensary,Operating,Public - LGA,,,-10.4742,38.9584
103524-5,Likwela,Likwela,Southern Zone,Lindi,Nachingwea,Nachingwea DC,Mkoka,Likwela,Dispensary,Operating,Public - LGA,,,-10.0468,38.7507
111906-4,Lilambo 'B',Lilambo 'B',Southern Zone,Ruvuma,Songea,Songea MC,Lilambo,Lilambo'B',Dispensary,Operating,Public - LGA,,,-10.66714,35.51836
110893-5,Lilido,Lilido,Southern Zone,Mtwara,Mtwara,Mtwara DC,Kitere,Lilido,Dispensary,Pending Operation - Under Construction,Public - LGA,,,-10.350102,39.708464
110810-9,Lilombe,Lilombe,Southern Zone,Lindi,Liwale,Liwale DC,Lilombe,Lilombe,Dispensary,Operating,Public - LGA,,08-04-0105,-10.21982,37.89294
110294-6,Lilombwi,Lilombwi dispensary,Southern Highlands Zone,Njombe,Njombe,Njombe TC,Kifanya,Lilombwi,Dispensary,Operating,Public - LGA,,22-01-0126,-9.548622,35.115768
103527-8,Lilondo,Lilondo,Southern Zone,Ruvuma,Songea,Madaba DC,Wino,Lilondo,Dispensary,Operating,Public - LGA,,10-02-0106,-9.83671,35.3376
103529-4,Lilys,Lilys,Southern Highlands Zone,Mbeya,Mbeya,Mbeya CC,Ilomba,Not set,Dispensary,Closed (Temporary),Private - For Profit,,,-8.90884,33.4879
109768-2,Lima,Lima Dispensary,Southern Highlands Zone,Njombe,Njombe,Njombe DC,Ninga,Lima,Dispensary,Pending Operation - Under Construction,Public - LGA,,,-9.080151,35.092424
103530-2,Limage,limage dispensary,Southern Highlands Zone,Njombe,Njombe,Njombe TC,Yakobi,Limage,Dispensary,Operating,Public - LGA,,,-9.436085,34.876572
103532-8,Limbula,,Western Zone,Tabora,Kaliua,Kaliua DC,Usinge,Usinge,Dispensary,Operating,Public - LGA,,,-5.12416,31.7409
103533-6,Linda,,Southern Zone,Ruvuma,Mbinga,Mbinga DC,Linda,Linda,Dispensary,Operating,Public - LGA,,,-10.8355,34.9082
103534-4,Lingeka,,Western Zone,Simiyu,Meatu,Meatu DC,Lingeka,Lingeka,Dispensary,Operating,Public - LGA,,,-3.09667,34.30542
109226-1,Linka,,Lake Zone,Mwanza,Ilemela,Ilemela MC,Nyakato,Chamwenda,Dispensary,Closed,Private - For Profit,,,-2.498332,32.922834
103535-1,Linoha,Linoha,Southern Zone,Lindi,Lindi,Lindi DC,Nahukahuka,Linoha,Dispensary,Operating,Public - LGA,,,-10.40083,39.50961
103536-9,Lionja,Lionja,Southern Zone,Lindi,Nachingwea,Nachingwea DC,Lionja,Lionja'B',Dispensary,Operating,Public - LGA,,,-10.162867,38.492214
103537-7,Lipalwe,Lipalwe,Southern Zone,Mtwara,Tandahimba,Tandahimba DC,Mkundi,Lipalwe I,Dispensary,Operating,Public - LGA,,,-10.95121,39.46946
103538-5,Lipangala,Lipangala,Southern Highlands Zone,Njombe,Ludewa,Ludewa DC,Mkongobaki,Not set,Dispensary,Operating,Public - LGA,,,-9.84861,34.6758
103539-3,Liparamba,Liparamba Health Centre,Southern Zone,Ruvuma,Nyasa,Nyasa DC,Liparamba,Liparamba,Health Center,Operating,Public - LGA,,,-11.39942,35.22787
103541-9,Lipilipili,,Southern Zone,Ruvuma,Mbinga,Mbinga TC,Mpepai,Lipilipili,Dispensary,Pending Operation - Under Construction,Public - LGA,,,-11.088279,35.136312
103543-5,Lipome,Lipome,Southern Zone,Lindi,Lindi,Lindi DC,Nahukahuka,Lipome,Dispensary,Operating,Public - LGA,,,-10.46865,39.54192
110259-9,Lipumba,,Southern Zone,Ruvuma,Mbinga,Mbinga DC,Kihangi Mahuka,Lipumba,Dispensary,Pending Operation - Under Construction,Public - LGA,,,-10.844657,35.021209
103544-3,Lipwidi,Lipwidi,Southern Zone,Mtwara,Mtwara,Mtwara DC,Mpapura,Mpapura,Dispensary,Operating,Public - LGA,,,-10.380116,39.841495
109733-6,Lisabon,Kwa Izengo,Lake Zone,Geita,Geita,Geita DC,Ludete,Ludete,Dispensary,Operating,Private - For Profit,196217,19-06-0156,-3.00642,31.9329
103546-8,Litehu,Litehu,Southern Zone,Mtwara,Tandahimba,Tandahimba DC,Litehu,Litehu,Dispensary,Operating,Public - LGA,,,-10.51844,39.5068
103548-4,Litembo,Litembo Hospital,Southern Zone,Ruvuma,Mbinga,Mbinga DC,Litembo,Litembo,Hospital - Other Hospital,Operating,Private - Faith based organization (FBO),,,-10.97665,34.82522
103551-8,Litisha,Litisha,Southern Zone,Ruvuma,Songea,Songea DC,Litisha,Litisha,Dispensary,Closed (Temporary),Private - Faith based organization (FBO),,,-10.6652,35.3592
103553-4,Litorongi,Litorongi Dispensary,Southern Zone,Ruvuma,Mbinga,Mbinga DC,Kigonsera,Litorongi,Dispensary,Operating,Public - LGA,,,-10.82531,35.13842
103554-2,Litowa,Litowa,Southern Zone,Ruvuma,Songea,Songea DC,Maposeni,Litowa,Dispensary,Operating,Public - LGA,,,-10.51605,35.47732
103555-9,Lituhi,ST. Elizabeth Hospital,Southern Zone,Ruvuma,Nyasa,Nyasa DC,Lituhi,Lituhi,Hospital,Operating,Private - Faith based organization (FBO),,,-10.54246,34.61183
103556-7,Litumbakuhamba,Litumbakuhamba,Southern Zone,Ruvuma,Nyasa,Nyasa DC,Lituhi,Litumba Kuhamba,Dispensary,Operating,Public - LGA,,,-10.46612,34.78074
103557-5,Litumbandyosi,Litumbandyosi Dispensary,Southern Zone,Ruvuma,Mbinga,Mbinga DC,Litumbandyosi,Litumbandyosi,Dispensary,Operating,Public - LGA,,,-10.41558,35.12761
110453-8,Lituru,,Southern Zone,Ruvuma,Mbinga,Mbinga DC,Litembo,Lituru,Dispensary,Pending Operation - Under Construction,Public - LGA,,,-10.95642,34.81946
103558-3,Liuguru,,Southern Zone,Lindi,Ruangwa,Ruangwa DC,Narungombe,Liuguru,Dispensary,Operating,Public - LGA,,,-10.0284,38.8892
112077-3,LIULA,,Southern Zone,Ruvuma,Mbinga,Mbinga DC,Lukarasi,Not set,Dispensary,Pending Operation - Under Construction,Public - LGA,,,-10.76277,34.9539
103560-9,Liuli,St. Annes Liuli Hospital,Southern Zone,Ruvuma,Nyasa,Nyasa DC,Liuli,Liuli,Hospital,Operating,Private - Faith based organization (FBO),,,-11.09796,34.6409
103561-7,Living Stone,Livingstone,Southern Zone,Ruvuma,Nyasa,Nyasa DC,Liuli,Puulu,Dispensary,Operating,Private - For Profit,,,-11.06616,34.6513
103563-3,Liwale B,,Southern Zone,Lindi,Liwale,Liwale DC,Liwale B,Liwale'B',Dispensary,Operating,Public - LGA,,,-9.81042,37.96466
103562-5,Liwale DH,Liwale Hospital,Southern Zone,Lindi,Liwale,Liwale DC,Liwale Mjini,Not set,Hospital,Operating,Public - LGA,,,-9.80552,37.9478
103564-1,Liwangula,Liwangula,Southern Zone,Ruvuma,Tunduru,Tunduru DC,Mindu,Liwangula,Dispensary,Operating,Public - LGA,,,-10.74473,37.75724
111734-0,Liweta,Liweta,Southern Zone,Ruvuma,Nyasa,Nyasa DC,Mbaha,Liwete,Dispensary,Operating,Public - LGA,,,-10.64013,34.64895
103565-8,Liweta,Liweta,Southern Zone,Ruvuma,Songea,Songea DC,Mpandangindo,Liweta,Dispensary,Operating,Public - LGA,,,-10.49375,35
103566-6,Liwihi,,Southern Zone,Ruvuma,Mbinga,Mbinga DC,Mkumbi,Lugari,Dispensary,Pending Operation - Under Construction,Public - LGA,,,-10.782529,34.899974
103567-4,Liwumbu,Liwumbu,Southern Zone,Ruvuma,Songea,Songea MC,Mletele,Liumbu,Dispensary,Operating,Public - LGA,,10-04-0107,-10.59929,35.69713
103568-2,Loiborsiret,Loiborsiret,Northern Zone,Manyara,Simanjiro,Simanjiro DC,Loiborsiret,Loiborsiret,Dispensary,Operating,Public - LGA,,21-04-0119,-4.2718,36.3759
103569-0,Loiborsoit A,Loiborsoit A,Northern Zone,Manyara,Simanjiro,Simanjiro DC,Emboreet,Leborsoit A,Dispensary,Operating,Public - LGA,,,-3.88243,36.42384
103571-6,Loje,Loje Dispensary,Central Zone,Dodoma,Chamwino,Chamwino DC,Loje,Loje,Dispensary,Operating,Public - LGA,,,-6.866932,36.011202
103572-4,Lole,Lole,Northern Zone,Kilimanjaro,Moshi,Moshi DC,Mwika Kaskazini,Lole,Dispensary,Operating,Public - LGA,,,-3.26271,37.57348
111545-0,Lole Lutheran,Lole Lutheran,Northern Zone,Kilimanjaro,Moshi,Moshi DC,Mwika Kaskazini,Lole,Dispensary,Closed,Private - Faith based organization (FBO),,,-3.2669,37.56561
103573-2,Loliondo,,Northern Zone,Arusha,Ngorongoro,Ngorongoro DC,Orgosorok,Loliondo,Health Center,Operating,Public - LGA,,02-05-0101,-2.05254,35.62455
103574-0,Lolkisale,Lolkisale,Northern Zone,Arusha,Monduli,Monduli DC,Not set,Not set,Dispensary,Operating,Public - LGA,,02-01-0125,-3.76107,36.4273
103575-7,Loltepesi,Loltepesi,Northern Zone,Manyara,Kiteto,Kiteto DC,Sunya,Loltopes,Dispensary,Operating,Public - LGA,,,-5.72778,36.87293
103576-5,Londokazi,Londokazi,Southern Highlands Zone,Rukwa,Nkasi,Nkasi DC,Chala,Londo kazi,Dispensary,Operating,Public - LGA,,,-7.528524,31.221784
110749-9,London,London,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Msasani,Mikoroshini,Health Center,Operating,Private - For Profit,,,-6.76306,39.26965
103577-3,Londoni,Londoni,Central Zone,Singida,Manyoni,Manyoni DC,Makuru,Londoni,Dispensary,Operating,Public - LGA,,,-5.32031,35.0788
112078-1,LONGA,,Southern Zone,Ruvuma,Mbinga,Mbinga DC,Mkumbi,Longa,Dispensary,Pending Operation - Under Construction,Public - LGA,,,-10.90973,34.91085
109192-5,Longalombogo,Longalombogo,Western Zone,Simiyu,Itilima,Itilima DC,Migato,Shishani,Dispensary,Operating,Public - LGA,,,-2.9638,34.39847
103580-7,Longaloniga,,Western Zone,Simiyu,Meatu,Meatu DC,Tindabuligi,Longalonhiga,Dispensary,Operating,Public - LGA,,,-3.1115,34.38
103581-5,Longido,longido,Northern Zone,Arusha,Longido,Longido DC,Longido,Madukani,Health Center,Operating,Public - LGA,,02-06-0201,-2.72867,36.70076
103582-3,Longoi,,Northern Zone,Kilimanjaro,Hai,Hai DC,Machame Weruweru,Ngosero,Dispensary,Operating,Public - LGA,,,-3.406821,37.253627
111014-7,Longoi,Longoi,Northern Zone,Tanga,Lushoto,Lushoto DC,Rangwi,Longoi,Dispensary,Operating,Public - LGA,,,-4.60315,38.24878
103583-1,Longuo,,Northern Zone,Kilimanjaro,Moshi,Moshi MC,Longuo B,Kibo,Dispensary,Operating,Public - LGA,,,-3.317056,37.317292
103584-9,Longuza,Lunguza Forest,Northern Zone,Tanga,Muheza,Muheza DC,Kisiwani,Kisiwani,Dispensary,Operating,Public - Parastatal,,,-5.11986,38.69191
103585-6,Loolera,,Northern Zone,Manyara,Kiteto,Kiteto DC,Loolera,Loolera,Dispensary,Operating,Private - Faith based organization (FBO),,,-5.37611,37.22516
103586-4,Lordes,Rhoudes,Lake Zone,Kagera,Ngara,Ngara DC,Kasulo,Not set,Dispensary,Operating,Public - LGA,,,-2.50076,30.85079
103587-2,Losaa,,Northern Zone,Kilimanjaro,Hai,Hai DC,Masama Magharibi,Losaa,Dispensary,Operating,Public - LGA,,,-3.205767,37.154144
103588-0,Losimingore,Losimingori,Northern Zone,Arusha,Monduli,Monduli DC,Lepurko,Losimingori,Dispensary,Operating,Public - LGA,,02-01-0109,-3.41787,36.1822
103589-8,Losinoni,,Northern Zone,Arusha,Arusha,Arusha DC,Oldonyosambu,Losinoni,Dispensary,Operating,Public - LGA,,,-3.13209,36.72001
103590-6,Losinyai,,Northern Zone,Manyara,Simanjiro,Simanjiro DC,Oljoro No. 5,Losinyai,Dispensary,Pending Operation - Under Construction,Public - LGA,,,-3.602966,36.719304
111230-9,Losirwa,,Northern Zone,Arusha,Longido,Longido DC,Ilorienito,Losirwa,Dispensary,Operating,Public - LGA,,,-2.842747,36.203179
103591-4,Lositete,,Northern Zone,Arusha,Karatu,Karatu DC,Mbulumbulu,Lositete,Dispensary,Operating,Private - Faith based organization (FBO) - Catholic,,,-3.179727,35.904982
103592-2,Losokonoi,Engutoto,Northern Zone,Manyara,Simanjiro,Simanjiro DC,Naberera,Losokonoi,Dispensary,Operating,Public - LGA,,,-4.05506,37.107223
103594-8,Lowa,lowa,Western Zone,Shinyanga,Kahama,Kahama TC,Nyandekwa,Lowa,Health Center,Operating,Private - Faith based organization (FBO),,,-3.89673,32.45821
103595-5,Lowe,,Southern Highlands Zone,Rukwa,Sumbawanga,Sumbawanga DC,Lusaka,Lowe,Dispensary,Operating,Public - LGA,,,-8.31713,31.57737
103596-3,Lower Ruvu,Dawasco,Eastern Zone,Pwani,Bagamoyo,Bagamoyo DC,Yombo,Kongo,Dispensary,Closed (Temporary),Public - Parastatal,,,-6.549469,38.828236
103598-9,Loya,Loya,Western Zone,Tabora,Uyui,Uyui DC,Loya,Loya,Dispensary,Operating,Public,,,-5.05777,33.83244
103599-7,Luagala,Luagala,Southern Zone,Mtwara,Tandahimba,Tandahimba DC,Luagala,Luagala,Health Center,Operating,Private - Faith based organization (FBO),,,-10.54403,39.47835
109174-3,Lualaje,Lualaje,Southern Highlands Zone,Mbeya,Chunya,Chunya DC,Luwalaje,Luwalaje,Dispensary,Operating,Public - LGA,,,-7.926031,33.570434
103601-1,Luale,Luale,Eastern Zone,Morogoro,Mvomero,Mvomero DC,Kikeo,Luale,Dispensary,Operating,Public - LGA,,,-7.13328,37.53682
103602-9,Luana,Luana,Southern Highlands Zone,Njombe,Ludewa,Ludewa DC,Luana,Luana,Dispensary,Operating,Private - Faith based organization (FBO),,11-04-0109,-9.97265,34.61425
103603-7,Luatala,Luatala,Southern Zone,Mtwara,Masasi,Masasi DC,Sindano,Luatala,Dispensary,Operating,Private - Faith based organization (FBO),,,-10.99769,39.08232
103605-2,Lubaga,,Western Zone,Shinyanga,Kishapu,Kishapu DC,Kishapu,Lubaga,Dispensary,Operating,Public - LGA,,,-3.56433,33.7952
111231-7,Lubaga,Lubaga Dispensary,Western Zone,Shinyanga,Shinyanga,Shinyanga MC,Kambarage,Mwasele,Dispensary,Operating,Public - LGA,,,-3.65283,33.3563
103608-6,Lubanda,Lubanda Disp,Southern Highlands Zone,Songwe,Ileje,Ileje DC,Lubanda,Mtula,Dispensary,Operating,Public - LGA,,,-9.359729,33.498176
103609-4,Lubanga,Lubanga,Lake Zone,Geita,Geita,Geita DC,Lubanga,Lubanga,Dispensary,Operating,Public - LGA,,19-06-0116,-2.6337,32.389
103610-2,Lubeho,,Lake Zone,Geita,Mbogwe,Mbogwe DC,Nyakafulu,Lubeho,Dispensary,Closed (Temporary),Private,,,-3.59996,32.1176
103611-0,Lubiga,,Western Zone,Simiyu,Meatu,Meatu DC,Lubiga,Lubiga,Dispensary,Operating,Public - LGA,,,-3.30085,34.21466
103612-8,Lubiri,Lubili,Lake Zone,Mwanza,Misungwi,Misungwi DC,Lubili,Lubili,Dispensary,Operating,Public - LGA,,19-07-0207,-3.11933,32.79222
103614-4,Lububu,Lububu,Western Zone,Tabora,Nzega,Nzega DC,Kasela,Lububu,Dispensary,Operating,Private - Faith based organization (FBO),,,-4.1221,32.9876
103615-1,Lubungo B,Lubungo B,Eastern Zone,Morogoro,Mvomero,Mvomero DC,Mzumbe,Lubungo 'B',Dispensary,Operating,Public - LGA,,,-6.35882,37.5285
103616-9,Luchelegwa,LUCHELEGWA,Southern Zone,Lindi,Ruangwa,Ruangwa DC,Luchelegwa,Luchelegwa,Health Center,Operating,Public - LGA,103616-9,,-10.400377,38.955332
103617-7,Luchili,zahanati,Lake Zone,Mwanza,Sengerema,Buchosa DC,Nyanzenda,Luchili,Dispensary,Operating,Public - LGA,,,-2.56158,32.51773
103619-3,Ludende,Ludende,Southern Highlands Zone,Njombe,Ludewa,Ludewa DC,Ludende,Not set,Dispensary,Operating,Public - LGA,,11-04-0106,-9.90634,34.69922
103620-1,Ludewa,Ludewa,Southern Highlands Zone,Njombe,Ludewa,Ludewa DC,Ludewa,Not set,Hospital - District Hospital,Operating,Public - LGA,,11-04-0100,-10.10228,34.68425
103621-9,Ludewa Kijijini,Ludewa Kijijini,Southern Highlands Zone,Njombe,Ludewa,Ludewa DC,Ludewa,Ludewa Kijijini,Dispensary,Operating,Private - Faith based organization (FBO),,,-10.11433,34.69081
111106-1,Ludodi Dental,,Eastern Zone,Dar es Salaam,Ubungo,Ubungo MC,Msigani,Msigani,Clinic - Dental Clinic,Operating,Private - For Profit,,,-6.784682,39.116419
103622-7,Luduga,Zahanati ya Luduga,Southern Highlands Zone,Njombe,Wanging'ombe,Wanging'ombe DC,Luduga,Luduga,Dispensary,Operating,Public - LGA,,,-8.968451,34.52866
109318-6,Lufilyo,Kipapa,Southern Highlands Zone,Mbeya,Rungwe,Busokelo DC,Lufilyo,Kipapa,Dispensary,Operating,Public,,,-9.28894,33.9008
103624-3,Lufingo,Lufingo,Southern Highlands Zone,Mbeya,Rungwe,Rungwe DC,Lufingo,Kalalo,Dispensary,Operating,Public - LGA,,,-9.25515,33.58501
103625-0,Lufu,,Central Zone,Dodoma,Mpwapwa,Mpwapwa DC,Lufu,Lufu,Dispensary,Operating,Public - LGA,,,-6.82234,36.4991
103626-8,Lufumbu,Lufumbu,Southern Highlands Zone,Njombe,Ludewa,Ludewa DC,Mlangali,Not set,Dispensary,Operating,Public - LGA,,,-9.782317,34.513861
103629-2,Lugala,Lugala,Central Zone,Dodoma,Dodoma,Dodoma MC,Mbalawala,Lugala,Dispensary,Operating,Public - LGA,,,-6.044741,35.623738
103630-0,Lugala,Lugala,Eastern Zone,Morogoro,Ulanga,Malinyi DC,Igawa,Lugala,Hospital,Operating,Private - Faith based organization (FBO),,,-8.92424,36.1373
111744-9,Lugalo,,Southern Highlands Zone,Iringa,Kilolo,Kilolo DC,Lugalo,Lugalo,Dispensary,Pending Operation - Under Construction,Public - LGA,,,-7.74838,35.86374
103632-6,Lugalo,Lugalo,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Kawe,Ukwamani,Hospital - Zonal Super Specialist Hospital,Operating,Public - Military,,,-6.745607,39.219221
103633-4,Lugalo RCH,Mwenge JWTZ RCH,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Makongo,Mlalakuwa,Hospital - Other Hospital,Operating,Public - Military,,,-6.76586,39.2279
103634-2,Luganga,Luganga,Southern Highlands Zone,Iringa,Iringa,Iringa DC,Itunundu,Kimande,Dispensary,Operating,Public - LGA,,,-7.53044,35.48121
111671-4,Luganga,Luganga,Lake Zone,Geita,Bukombe,Bukombe DC,Bukombe,Bukombe,Dispensary,Operating,Private,,,-3.51948,32.0486
103637-5,Lugarawa,Lugarawa,Southern Highlands Zone,Njombe,Ludewa,Ludewa DC,Lugarawa,Lugarawa,Hospital - Other Hospital,Operating,Public - LGA,,11-04-0200,-9.80659,34.71475
103638-3,Lugari,,Southern Zone,Ruvuma,Mbinga,Mbinga DC,Mkumbi,Lugari,Dispensary,Pending Operation - Under Construction,Public - LGA,,,-10.87768,34.86229
103639-1,Lugata,Zahanati,Lake Zone,Mwanza,Sengerema,Buchosa DC,Lugata,Lugata,Dispensary,Operating,Public - LGA,,,-2.32513,32.44126
111326-5,Lugela,,Lake Zone,Mwanza,Ilemela,Ilemela MC,Nyakato,Not set,Dispensary,Operating,Private - For Profit,,,-2.532624,32.936315
103640-9,Lugenge,Lugenge dispensary,Southern Highlands Zone,Njombe,Njombe,Njombe TC,Lugenge,Lugenge,Dispensary,Operating,Private - Faith based organization (FBO),,22-01-0112,-9.459046,34.59567
103641-7,Lugeye,Lugeye,Lake Zone,Mwanza,Magu,Magu DC,Kitongo Sima,Lugeye,Health Center,Operating,Public - LGA,,,-2.55339,33.25216
103642-5,Lugeye Medical Care,,Eastern Zone,Dar es Salaam,Temeke,Temeke MC,Kiburugwa,Kiburugwa,Dispensary,Closed (Temporary),Private - For Profit,,,-6.916541,39.264021
103643-3,Lugoba,Maendeleo,Eastern Zone,Pwani,Bagamoyo,Chalinze DC,Lugoba,Not set,Health Center,Operating,Public - LGA,,06-01-0102,-6.463034,38.330508
103644-1,Lugoba mission,Lugoba Mission Disp,Eastern Zone,Pwani,Bagamoyo,Chalinze DC,Lugoba,Lugoba,Dispensary,Operating,Private - Faith based organization (FBO),,,-6.45537,38.3315
103645-8,Lugoba Secondary,Lugoba secondary Disp,Eastern Zone,Pwani,Bagamoyo,Chalinze DC,Lugoba,Lugoba,Dispensary,Operating,Public - LGA,,,-6.45483,38.332
103646-6,Lugoda,Lugoda,Southern Highlands Zone,Iringa,Mufindi,Mufindi DC,Mninga,Mninga,Hospital,Operating,Private - For Profit,,11-05-0100,-8.58401,35.2654
103648-2,Lugombo,Lugombo dispensary,Southern Highlands Zone,Mbeya,Kyela,Kyela DC,Mwaya,Lugombo,Dispensary,Operating,Public - LGA,,12-03-0119,-9.55547,33.94243
103649-0,Lugombo,Lugombo,Southern Highlands Zone,Mbeya,Rungwe,Rungwe DC,Lufingo,Lugombo,Dispensary,Operating,Public - LGA,,,-9.26442,33.56284
103651-6,Lugongo,Lugongo Sisal Estate,Northern Zone,Tanga,Mkinga,Mkinga DC,Mapatano,Not set,Dispensary,Closed (Temporary),Private - NGOs,103651-6,,-4.8725,38.83458
103654-0,Lugulu,lugulu,Northern Zone,Kilimanjaro,Same,Same DC,Bombo,Mjema,Dispensary,Operating,Public - LGA,,,-4.3409,38.0083
103655-7,Lugunga,,Lake Zone,Geita,Mbogwe,Mbogwe DC,Lugunga,Lugunga,Dispensary,Operating,Public,,,-3.519967,32.2264
108345-0,Lugunga wazazi,Mwenzetu,Lake Zone,Geita,Mbogwe,Mbogwe DC,Nyakafulu,Shinyanga ''A'',Dispensary,Operating,Private,,,-3.64773,32.16687
103656-5,Luguru,Luguru.,Western Zone,Simiyu,Itilima,Itilima DC,Lugulu,Lugulu,Dispensary,Operating,Public - LGA,,,-2.92078,33.95906
103657-3,Luguru UWT,Kwa Nungu,Western Zone,Simiyu,Itilima,Itilima DC,Lugulu,Inalo,Dispensary,Operating,Private - For Profit,171200,,-2.90963,33.93949
108328-6,Luguru Wazazi,Kwamakoye.,Western Zone,Simiyu,Itilima,Itilima DC,Lugulu,Inalo,Dispensary,Operating,Private - For Profit,,,-2.90747,33.93624
108599-2,Luhaga,Luhaga Dispensary,Western Zone,Shinyanga,Kahama,Ushetu DC,Igwamanoni,Luhaga,Dispensary,Operating,Public - LGA,,17-04-0150,-3.78115,32.21305
108837-6,Luhagara,Luhagara Dispensary,Southern Zone,Ruvuma,Mbinga,Mbinga DC,Litumbandyosi,Luhagara,Dispensary,Operating,Public - LGA,,,-10.53415,35.0595
